order_id,product_id,product_name,category,quantity,unit_price,order_date
1001,P01,Wireless Mouse,Electronics,3,29.99,2026-01-15
1002,P02,Python Cookbook,Books,1,45.00,2026-01-15
1003,P03,USB-C Hub,Electronics,2,39.99,2026-01-16
1004,P01,Wireless Mouse,Electronics,1,29.99,2026-01-16
1005,P04,Notebook A5,Stationery,10,5.50,2026-01-17
1006,P02,Python Cookbook,Books,2,45.00,2026-01-17
1007,P05,Mechanical Keyboard,Electronics,1,89.99,2026-01-18
1008,P03,USB-C Hub,Electronics,3,39.99,2026-01-18
1009,P04,Notebook A5,Stationery,5,5.50,2026-01-19
1010,P01,Wireless Mouse,Electronics,2,29.99,2026-01-19
1011,P06,Desk Lamp,Electronics,1,35.00,2026-01-20
1012,P02,Python Cookbook,Books,1,45.00,2026-01-20
1013,P05,Mechanical Keyboard,Electronics,2,89.99,2026-01-21
1014,P04,Notebook A5,Stationery,8,5.50,2026-01-21
1015,P06,Desk Lamp,Electronics,3,35.00,2026-01-22
